Cohort,Planet,"M0","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22"
January-13,Venus,"90 ","70 ","40 ","50 ","50 ","50 ","50 ","40 ","40 ","40 ","40 ","50 ","60 ","50 ","60 ","60 ","50 ","40 ","40 ","40 ","40 ","40 ","40 "
January-13,Earth,"127,020 ","111,528 ","102,456 ","97,512 ","94,140 ","90,432 ","86,124 ","84,732 ","81,732 ","78,072 ","76,896 ","75,744 ","74,124 ","72,144 ","70,368 ","68,052 ","65,628 ","64,332 ","63,360 ","62,304 ","60,876 ","58,320 ","57,084 "
January-13,Mars,"4,884 ","3,888 ","3,312 ","3,024 ","2,892 ","2,688 ","2,508 ","2,496 ","2,172 ","2,196 ","2,256 ","2,196 ","2,088 ","2,076 ","1,944 ","1,884 ","1,896 ","1,752 ","1,740 ","1,740 ","1,716 ","1,596 ","1,608 "
January-13,Jupiter,"1,617 ","1,298 ","1,144 ","1,089 ","1,034 ","935 ","880 ","836 ","814 ","803 ","836 ","737 ","759 ","726 ","715 ","693 ","693 ","627 ","616 ","649 ","638 ","594 ","616 "
January-13,Saturn,"28,138 ","23,925 ","20,944 ","19,492 ","18,436 ","17,578 ","16,489 ","15,675 ","15,224 ","15,048 ","14,960 ","14,795 ","14,157 ","13,541 ","13,145 ","12,738 ","12,210 ","11,880 ","11,715 ","11,605 ","11,154 ","10,714 ","10,406 "
February-13,Venus,"5,566 ","4,840 ","4,389 ","4,136 ","3,773 ","3,652 ","3,553 ","3,542 ","3,652 ","3,608 ","3,674 ","3,685 ","3,663 ","3,696 ","3,564 ","3,311 ","3,036 ","2,937 ","2,915 ","2,772 ","2,629 ","2,618 ","0 "
February-13,Earth,"134,030 ","118,612 ","112,437 ","107,900 ","103,363 ","98,904 ","96,707 ","94,185 ","89,817 ","88,829 ","86,645 ","84,877 ","82,511 ","80,912 ","78,377 ","75,933 ","74,035 ","72,878 ","72,111 ","70,863 ","68,380 ","66,287 ","0 "
February-13,Mars,"8,320 ","6,565 ","5,876 ","5,603 ","5,200 ","4,940 ","4,810 ","4,238 ","4,238 ","4,303 ","4,173 ","3,978 ","3,822 ","3,835 ","3,640 ","3,627 ","3,536 ","3,445 ","3,250 ","3,159 ","2,977 ","2,938 ","0 "
February-13,Jupiter,"3,042 ","2,538 ","2,268 ","2,061 ","1,917 ","1,872 ","1,809 ","1,782 ","1,845 ","1,836 ","1,836 ","1,773 ","1,719 ","1,683 ","1,602 ","1,593 ","1,602 ","1,494 ","1,512 ","1,431 ","1,377 ","1,368 ","0 "
February-13,Saturn,"48,220 ","40,710 ","37,140 ","35,850 ","34,020 ","32,190 ","30,960 ","30,100 ","29,330 ","28,730 ","27,740 ","26,810 ","25,880 ","24,910 ","24,020 ","23,060 ","22,550 ","22,320 ","21,710 ","20,790 ","20,210 ","19,750 ","0 "
